"","comments_we_have","lowest.sorted.rin.of.related.rins","related.rins","number.of.rins","agency_1","agency_2","agency_3","agency_4","agency_5","agency_6","agency_7","agency_8","agency_9","ANPR-Issuance_1_publication_date","ANPR-Extension_1_publication_date","NPR-Issuance_1_publication_date","NPR-Issuance_2_publication_date","NPR-Issuance_3_publication_date","NPR-Issuance_4_publication_date","NPR-Issuance_5_publication_date","NPR-Issuance_6_publication_date","NPR-Extension_1_publication_date","NPR-Reissuance_1_publication_date","NPR-Reissuance_2_publication_date","INTERIM-FINAL-Issuance_1_publication_date","INTERIM-FINAL-Issuance_2_publication_date","INTERIM-FINAL-Issuance_3_publication_date","INTERIM-FINAL-Issuance_4_publication_date","INTERIM-FINAL-Issuance_5_publication_date","INTERIM-FINAL-Issuance_6_publication_date","INTERIM-FINAL-Correction_1_publication_date","FINAL-Issuance_1_publication_date","FINAL-Issuance_2_publication_date","FINAL-Issuance_3_publication_date","FINAL-Issuance-Complex_1_publication_date","FINAL-Correction_1_publication_date","FINAL-Correction_2_publication_date","GUIDANCE-Issuance_1_publication_date","NA_1_publication_date","ANPR-Issuance_1_rule_url","ANPR-Extension_1_rule_url","NPR-Issuance_1_rule_url","NPR-Issuance_2_rule_url","NPR-Issuance_3_rule_url","NPR-Issuance_4_rule_url","NPR-Issuance_5_rule_url","NPR-Issuance_6_rule_url","NPR-Issuance_7","NPR-Issuance_8","NPR-Extension_1_rule_url","NPR-Reissuance_1_rule_url","NPR-Reissuance_2_rule_url","INTERIM-FINAL-Issuance_1_rule_url","INTERIM-FINAL-Issuance_2_rule_url","INTERIM-FINAL-Issuance_3_rule_url","INTERIM-FINAL-Issuance_4_rule_url","INTERIM-FINAL-Issuance_5_rule_url","INTERIM-FINAL-Issuance_6_rule_url","INTERIM-FINAL-Issuance_7","INTERIM-FINAL-Issuance_8","INTERIM-FINAL-Issuance_9","INTERIM-FINAL-Issuance_10","INTERIM-FINAL-Issuance_11","INTERIM-FINAL-Issuance_12","INTERIM-FINAL-Issuance_13","INTERIM-FINAL-Issuance_14","INTERIM-FINAL-Correction_1_rule_url","FINAL-Issuance_1_rule_url","FINAL-Issuance_2_rule_url","FINAL-Issuance_3_rule_url","FINAL-Issuance_4","FINAL-Issuance-Complex_1_rule_url","FINAL-Correction_1_rule_url","FINAL-Correction_2_rule_url","GUIDANCE-Issuance_1_rule_url","NA_1_rule_url"
"13",458,"1550-AC49","1550-AC49, 1557-AD39, 2590-AA42, 3064-AD56, 3064-AD86, 3133-AD88, 3133-AE48, 7100-AD69, 7100-AE50",9,"OTS","OCC","FHFA","FDIC","FDIC","NCUA","NCUA","FRS","FRS",,,"4/14/11","6/10/16",,,,,,,,,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2011/04/14/2011-7937/incentive-based-compensation-arrangements","https://www.federalregister.gov/documents/2016/06/10/2016-11788/incentive-based-compensation-arrangements",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14",0,"1557-AC44","1557-AC44",1,"OTS",,,,,,,,,"10/14/10",,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2010/10/14/2010-25845/alternatives-to-the-use-of-external-credit-ratings-in-the-regulations-of-the-ots",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15",32,"1557-AC99","1557-AC99, 3064-AD70, 7100-AD61",3,"OCC","FDIC","FRS",,,,,,,,,"1/11/11",,,,,,,"12/21/11",,,,,,,,,"8/30/12",,,,,,,,,,"https://www.federalregister.gov/documents/2011/01/11/2010-32189/risk-based-capital-guidelines-market-risk",,,,,,,,,"https://www.federalregister.gov/documents/2011/12/21/2011-32073/risk-based-capital-guidelines-market-risk-alternatives-to-credit-ratings-for-debt-and-securitization",,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2012/08/30/2012-16759/risk-based-capital-guidelines-market-risk",,,,,,,,
"16",0,"1557-AD33","1557-AD33, 3064-AD58",2,"OCC","FDIC",,,,,,,,,,"12/30/10",,,,,,,,,,,,,,,,"6/28/11",,,,,,,,,,"https://www.federalregister.gov/documents/2010/12/30/2010-32190/risk-based-capital-standards-advanced-capital-adequacy-framework-basel-ii-establishment-of-a",,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2011/06/28/2011-15669/risk-based-capital-standards-advanced-capital-adequacy-framework-basel-ii-establishment-of-a",,,,,,,,
"17",0,"1557-AD36","1557-AD36",1,"OCC",,,,,,,,,"8/13/10",,"11/29/11",,,,,,,,,,,,,,,,"6/13/12",,,,,,,,"https://www.federalregister.gov/documents/2010/08/13/2010-20048/alternatives-to-the-use-of-external-credit-ratings-in-the-regulations-of-the-occ",,"https://www.federalregister.gov/documents/2011/11/29/2011-30428/alternatives-to-the-use-of-external-credit-ratings-in-the-regulations-of-the-occ",,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2012/06/13/2012-14169/alternatives-to-the-use-of-external-credit-ratings-in-the-regulations-of-the-occ",,,,,,,,
"18",1202,"1557-AD40","1557-AD40, 2501-AD53, 2590-AA43, 3064-AD74, 7100-AD70",5,"OCC","HUD","FHFA","FDIC","FRS",,,,,,,"4/29/11","9/20/13",,,,,,,,,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2011/04/29/2011-8364/credit-risk-retention","https://www.federalregister.gov/documents/2013/09/20/2013-21677/credit-risk-retention",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"19",0,"1557-AD41","1557-AD41",1,"OCC",,,,,,,,,,,"5/26/11",,,,,,,,,,,,,,,,"7/21/11",,,,,,,,,,"https://www.federalregister.gov/documents/2011/05/26/2011-12859/office-of-thrift-supervision-integration-dodd-frank-act-implementation",,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2011/07/21/2011-18231/office-of-thrift-supervision-integration-dodd-frank-act-implementation",,,,,,,,
"20",0,"1557-AD42","1557-AD42",1,"OCC",,,,,,,,,,,"10/12/12","4/22/11",,,,,,,,"9/12/11",,,,,,,"7/14/11",,,,,,,,,,"https://www.federalregister.gov/documents/2012/10/12/2012-25123/retail-foreign-exchange-transactions","https://www.federalregister.gov/documents/2011/04/22/2011-9821/retail-foreign-exchange-transactions",,,,,,,,,,"https://www.federalregister.gov/documents/2011/09/12/2011-23033/retail-foreign-exchange-transactions",,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2011/07/14/2011-17514/retail-foreign-exchange-transactions",,,,,,,,
"21",70,"1557-AD43","1557-AD43, 2590-AA45, 3064-AD79, 3064-AE21, 7100-AD74",5,"OCC","FHFA","FDIC","FDIC","FRS",,,,,,,"5/11/11","9/24/14",,,,,,,,"11/30/15",,,,,,,"8/2/16",,,,,,,,,,"https://www.federalregister.gov/documents/2011/05/11/2011-10432/margin-and-capital-requirements-for-covered-swap-entities","https://www.federalregister.gov/documents/2014/09/24/2014-22001/margin-and-capital-requirements-for-covered-swap-entities",,,,,,,,,,"https://www.federalregister.gov/documents/2015/11/30/2015-28670/margin-and-capital-requirements-for-covered-swap-entities",,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2016/08/02/2016-18193/margin-and-capital-requirements-for-covered-swap-entities",,,,,,,,
"22",516,"1557-AD44","1557-AD44, 3064-AD85, 7100-AD82",3,"OCC","FDIC","FRS",,,,,,,,,"11/7/11",,,,,,,,,,,,,,,,"1/31/14",,,,,,,,,,"https://www.federalregister.gov/documents/2011/11/07/2011-27184/prohibitions-and-restrictions-on-proprietary-trading-and-certain-interests-in-and-relationships-with",,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2014/01/31/2013-31511/prohibitions-and-restrictions-on-proprietary-trading-and-certain-interests-in-and-relationships-with",,,,,,,,
"23",2562,"1557-AD46","1557-AD46, 3064-AD95, 3064-AD97, 7100-AD87",4,"OCC","FDIC","FDIC","FRS",,,,,,,,"8/30/12",,,,,,,,,,,,,,,"10/22/13","10/11/13","4/14/14",,,,,,,,,"https://www.federalregister.gov/documents/2012/08/30/2012-16761/regulatory-capital-rules-advanced-approaches-risk-based-capital-rule-market-risk-capital-rule","https://www.federalregister.gov/documents/2012/08/30/2012-17010/regulatory-capital-rules-standardized-approach-for-risk-weighted-assets-market-discipline-and","https://www.federalregister.gov/documents/2012/08/30/2012-16757/regulatory-capital-rules-regulatory-capital-implementation-of-basel-iii-minimum-regulatory-capital",,,,,,,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2013/10/22/2013-24532/regulatory-capital-rules-regulatory-capital-implementation-of-basel-iii-capital-adequacy-transition","https://www.federalregister.gov/documents/2013/10/11/2013-21653/regulatory-capital-rules-regulatory-capital-implementation-of-basel-iii-capital-adequacy-transition","https://www.federalregister.gov/documents/2014/04/14/2014-08259/regulatory-capital-rules-regulatory-capital-implementation-of-basel-iii-capital-adequacy-transition",,,,,,,
"24",0,"1557-AD47","1557-AD47",1,"OCC",,,,,,,,,,,,,,,,,,,,"8/9/11",,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2011/08/09/2011-17581/office-of-thrift-supervision-integration-pursuant-to-the-dodd-frank-wall-street-reform-and-consumer",,,,,,,,,,,,,,,,,,,,,,,
"25",0,"1557-AD58","1557-AD58",1,"OCC",,,,,,,,,,,,,,,,,"3/21/12",,,,,,,,,,"10/9/12",,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2012/03/21/2012-6811/annual-stress-test",,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2012/10/09/2012-24608/annual-stress-test",,,,,,,,
"26",0,"1557-AD59","1557-AD59",1,"OCC",,,,,,,,,,,,,,,,,,,,"6/21/12",,,,,,,"6/25/13",,,,,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2012/06/21/2012-15004/lending-limits",,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2013/06/25/2013-15174/lending-limits",,,,,,,,
"27",182,"1557-AD62","1557-AD62, 1557-AD70, 1557-AD90, 1557-AD99, 3170-AA11, 3170-AA68, 7100 AE56, 7100-AD90",8,"OCC","OCC","OCC","OCC","CFPB","FRS","CFPB","FRS","FRS",,,"8/4/16","8/8/13","9/5/12",,,,,,,,,,,,,,"11/30/16","12/30/14","2/13/13",,"11/27/15","12/26/13",,,,,"https://www.federalregister.gov/documents/2016/08/04/2016-18058/appraisals-for-higher-priced-mortgage-loans-exemption-threshold","https://www.federalregister.gov/documents/2016/08/04/2016-18059/consumer-leasing-regulation-m","https://www.federalregister.gov/documents/2013/08/08/2013-17086/appraisals-for-higher-priced-mortgage-loans-supplemental-proposal","https://www.federalregister.gov/documents/2012/09/05/2012-20432/appraisals-for-higher-risk-mortgage-loans",,,,,,,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2016/11/30/2016-28699/appraisals-for-higher-priced-mortgage-loans-exemption-threshold","https://www.federalregister.gov/documents/2016/11/30/2016-28710/consumer-leasing-regulation-m","https://www.federalregister.gov/documents/2014/12/30/2014-30419/appraisals-for-higher-priced-mortgage-loans-exemption-threshold-adjustment-final-rule","https://www.federalregister.gov/documents/2013/02/13/2013-01809/appraisals-for-higher-priced-mortgage-loans",,"https://www.federalregister.gov/documents/2015/11/27/2015-30097/appraisals-for-higher-priced-mortgage-loans-exemption-threshold","https://www.federalregister.gov/documents/2013/12/26/2013-30108/appraisals-for-higher-priced-mortgage-loans",,
"28",126,"1557-AD64","1557-AD64, 3064-AE10, 3133-AE22, 3170-AA44, 7100-AE15",5,"OCC","FDIC","NCUA","CFPB","FRS",,,,,,,"4/9/14",,,,,,,,,,,,,,,,"6/9/15",,,,,,,,,,"https://www.federalregister.gov/documents/2014/04/09/2014-06860/minimum-requirements-for-appraisal-management-companies",,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2015/06/09/2015-12719/minimum-requirements-for-appraisal-management-companies",,,,,,,,
"29",26,"1557-AD69","1557-AD69, 3064-AE01, 7100-AD99",3,"OCC","FDIC","FRS",,,,,,,,,"8/20/13",,,,,,,,,,,,,,,,"5/1/14",,,,"1/8/18",,,,,,"https://www.federalregister.gov/documents/2013/08/20/2013-20143/regulatory-capital-rules-regulatory-capital-enhanced-supplementary-leverage-ratio-standards-for",,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2014/05/01/2014-09367/regulatory-capital-rules-regulatory-capital-enhanced-supplementary-leverage-ratio-standards-for",,,,,"https://www.federalregister.gov/documents/2018/01/08/2018-00062/regulatory-capital-rules-correction",,,
"30",0,"1557-AD73","1557-AD73",1,"OCC",,,,,,,,,,,,,,,,,,,,"2/28/14",,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2014/02/28/2014-04331/basel-iii-conforming-amendments-related-to-cross-references-subordinated-debt-and-limits-based-on",,,,,,,,,,,,,,,,,,,,,,,
"31",0,"1557-AD74","1557-AD74, 3064-AE04, 7100-AE03",3,"OCC","FDIC","FRS",,,,,,,,,"11/29/13",,,,,,,,,,,,,,,,"10/10/14",,,,,,,,,,"https://www.federalregister.gov/documents/2013/11/29/2013-27082/liquidity-coverage-ratio-liquidity-risk-measurement-standards-and-monitoring",,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2014/10/10/2014-22520/liquidity-coverage-ratio-liquidity-risk-measurement-standards",,,,,,,,
"32",18,"1557-AD79","1557-AD79, 3064-AE11, 7100-AE11",3,"OCC","FDIC","FRS",,,,,,,,,,,,,,,,,,"1/31/14",,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2014/01/31/2014-02019/treatment-of-certain-collateralized-debt-obligations-backed-primarily-by-trust-preferred-securities",,,,,,,,,,,,,,,,,,,,,,,
"33",0,"1557-AD80","1557-AD80",1,"OCC",,,,,,,,,,,"6/10/14",,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2014/06/10/2014-11473/integration-of-national-bank-and-federal-savings-association-regulations-licensing-rules",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"34",13,"1557-AD81","1557-AD81, 1557-AD83, 3064-AE12, 3064-AE13, 7100-AD16, 7100-AE17",6,"OCC","OCC","FDIC","FDIC","FRS","FRS",,,,,,"5/1/14",,,,,,,,,,,,,,,,"7/30/14","9/26/14",,,,,,,,,"https://www.federalregister.gov/documents/2014/05/01/2014-09357/regulatory-capital-rules-regulatory-capital-proposed-revisions-to-the-supplementary-leverage-ratio","https://www.federalregister.gov/documents/2014/05/01/2014-09452/regulatory-capital-rules-advanced-approaches-risk-based-capital-rule-proposed-revisions-to-the",,,,,,,,,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2014/07/30/2014-17858/regulatory-capital-rules-advanced-approaches-risk-based-capital-rule-revisions-to-the-definition-of","https://www.federalregister.gov/documents/2014/09/26/2014-22083/regulatory-capital-rules-regulatory-capital-revisions-to-the-supplementary-leverage-ratio",,,,,,,
"35",0,"1557-AD82","1557-AD82",1,"OCC",,,,,,,,,,,"4/28/14",,,,,,,,,,,,,,,,"7/9/14",,,,,,,,,,"https://www.federalregister.gov/documents/2014/04/28/2014-09296/assessment-of-fees",,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2014/07/09/2014-16017/assessment-of-fees",,,,,,,,
"36",0,"1557-AD85","1557-AD85",1,"OCC",,,,,,,,,,,"7/1/14",,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2014/07/01/2014-14416/annual-stress-test-schedule-shift-and-adjustments-to-regulatory-capital-projections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"37",32,"1557-AD97","1557-AD97, 7100-AE51",2,"OCC","FRS",,,,,,,,,,"6/1/16",,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2016/06/01/2016-11505/net-stable-funding-ratio-liquidity-risk-measurement-standards-and-disclosure-requirements",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38",0,"1557-AE06","1557-AE06, 3064-AE45, 7100-AE61",3,"OCC","FDIC","FRS",,,,,,,"10/26/16",,"6/1/16",,,,,,,,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2016/10/26/2016-25871/enhanced-cyber-risk-management-standards",,"https://www.federalregister.gov/documents/2016/10/26/2016-25871/enhanced-cyber-risk-management-standards",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39",0,"1990-AA38","1990-AA38",1,"DOE",,,,,,,,,,,"11/2/11",,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2011/11/02/2011-28242/modification-of-regulatory-provisions-requiring-credit-rating-or-assessments-in-accordance-with",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"40",0,"2501-AC94","2501-AC94",1,"HUD",,,,,,,,,,,"12/16/11","7/22/16",,,,,,,,,,,,,,,"7/24/13",,,,,,,,,,"https://www.federalregister.gov/documents/2011/12/16/2011-31778/home-investment-partnerships-program-improving-performance-and-accountability-and-updating-property","https://www.federalregister.gov/documents/2016/07/22/2016-17390/60-day-notice-of-proposed-information-collection-home-investment-partnership-program",,,,,,,,,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2013/07/24/2013-17348/home-investment-partnerships-program-improving-performance-and-accountability-updating-property",,,,,,,,
"41",0,"2502-A170","2502-A170",1,"HUD",,,,,,,,,,,"12/15/09","2/17/10",,,,,,,,,,,,,,,"6/30/11",,,,,,,,,,"https://www.federalregister.gov/documents/2009/12/15/E9-29708/safe-mortgage-licensing-act-hud-responsibilities-under-the-safe-act","https://www.federalregister.gov/documents/2010/02/17/2010-3087/safe-mortgage-licensing-act-hud-responsibilities-under-the-safe-act-extension-of-public-comment",,,,,,,,,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2011/06/30/2011-15672/safe-mortgage-licensing-act-minimum-licensing-standards-and-oversight-responsibilities",,,,,,,,
"42",0,"2502-AI94","2502-AI94",1,"HUD",,,,,,,,,,,"5/31/17","9/13/13",,,,,"11/6/13",,,,,,,,,,"12/14/16",,,,"1/31/17",,,,,,"https://www.federalregister.gov/documents/2017/05/31/2017-11213/housing-counseling-certification-examination-availability-and-change-to-certification-examination","https://www.federalregister.gov/documents/2013/09/13/2013-22229/housing-counseling-program-new-certification-requirements",,,,,,,"https://www.federalregister.gov/documents/2013/11/06/2013-26586/housing-counseling-program-new-certification-requirements-extension-of-public-comment-period",,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2016/12/14/2016-29822/housing-counseling-new-certification-requirements",,,,,"https://www.federalregister.gov/documents/2017/01/31/2017-00255/housing-counseling-new-certification-requirements-correction",,,
"43",0,"2502-AI97","2502-AI97",1,"HUD",,,,,,,,,,,"3/4/11",,,,,,,,,"3/4/11",,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2011/03/04/2011-4817/emergency-homeowners-loan-program-announcement-of-activation-of-program-and-availability-of",,,,,,,,,,,"https://www.federalregister.gov/documents/2011/03/04/2011-4816/emergency-homeowners-loan-program",,,,,,,,,,,,,,,,,,,,,,,
"44",0,"2502-AJ18","2502-AJ18",1,"HUD",,,,,,,,,,,"9/30/13",,,,,,,,,,,,,,,,"12/11/13",,,,,,,,,,"https://www.federalregister.gov/documents/2013/09/30/2013-23472/qualified-mortgage-definition-for-hud-insured-and-guaranteed-single-family-mortgages",,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2013/12/11/2013-29482/qualified-mortgage-definition-for-hud-insured-and-guaranteed-single-family-mortgages",,,,,,,,
"45",0,"2590-AA36","2590-AA36",1,"FHFA","FHFB",,,,,,,,,,"11/8/10",,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.federalregister.gov/documents/2010/11/08/2010-28178/federal-home-loan-bank-liabilities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
