"","fr_document_id","action","action_description_fr","action_url","agency_acronym","docket_id","joint","page_length","publication_date","reg_dot_gov_document_id","rin","stage","stage_n","start_page","title","volume"
"25","2011-14831-FRS","Issuance","Proposed rule.","https://web.archive.org/web/20120921120339/http://www.federalreserve.gov/apps/foia/ViewComments.aspx?doc_id=R-1425&doc_ver=1","FRS","R-1425","No","11","2011-06-17","FRS-2011-0155-0001","7100-AD77","NPR","","35351","Capital Plans","76"
"26","2011-30665-FRS","Issuance","Final rule.","https://web.archive.org/web/20120921120339/http://www.federalreserve.gov/apps/foia/ViewComments.aspx?doc_id=R-1425&doc_ver=1","FRS","R-1425","No","18","2011-12-01","FRS-2011-0339-0001","7100-AD77","FINAL","","74631","Capital Plans","76"
"27","2013-23618-FRS","Issuance","Interim final rule with request for comment.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1463&doc_ver=1","FRS","R-1463","No","13","2013-09-30","FRS-2013-0279-0001","7100-AE01","INTERIM-FINAL","","59779","Regulations Y and YY: Application of the Revised Capital Framework to the Capital Plan and Stress Test Rules","78"
"28","2014-05053-FRS","Issuance","Final rule.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1463&doc_ver=1","FRS","R-1463","No","18","2014-03-11","FRS-2014-0069-0001","7100-AE01","FINAL","","13498","Application of the Revised Capital Framework to the Capital Plan and Stress Test Rules","79"
"29","2012-1135-FDIC","Issuance","Proposed rule with request for public comment.","https://www.fdic.gov/regulations/laws/federal/2012/2012-ad91.html","FDIC","3064-AD91","No","7","2012-01-23","FDIC-2012-0006-0001","3064-AD91","NPR","","3166","Annual Stress Test","77"
"30","2012-25194-FDIC","Issuance","Final rule.","https://www.fdic.gov/regulations/laws/federal/2012/2012-ad91.html","FDIC","3064-AD91","No","11","2012-10-15","FDIC-2012-0127-0001","3064-AD91","FINAL","","62417","Annual Stress Test","77"
"31","2014-14389-FDIC","Issuance","Proposed rule with request for public comment.","https://www.fdic.gov/regulations/laws/federal/2014/annual_stress_test_3064-ae18.html","FDIC","3064-AE18","No","5","2014-07-01","FDIC-2014-0067-0001","3064-AE18","NPR","","37235","Annual Stress Test","79"
"32","2014-27610-FDIC","Issuance","Final rule.","https://www.fdic.gov/regulations/laws/federal/2014/annual_stress_test_3064-ae18.html","FDIC","3064-AE18","No","5","2014-11-21","FDIC-2014-0132-0001","3064-AE18","FINAL","","69365","Annual Stress Test","79"
"33","2011-9357-FDIC","Issuance","Proposed rule; request for public comment.","https://www.fdic.gov/regulations/laws/federal/2011/11comad77.html","FDIC","3064-AD77","No","15","2011-04-22","FDIC-2011-0052-0001","3064-AD77","NPR","","22648","Resolution Plans and Credit Exposure Reports Required","76"
"34","2011-24179-FDIC","Issuance","Interim final rule.","https://www.fdic.gov/regulations/laws/federal/2011/11comad59.html","FDIC","3064-AD59","No","15","2011-09-21","FDIC-2011-0134-0001","3064-AD59","INTERIM-FINAL","","58379","Resolution Plans Required for Insured Depository Institutions With $50 Billion or More in Total Assets","76"
"35","2011-27377-FRS","Issuance","Final rule.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1414&doc_ver=1","FRS","R-1414","No","18","2011-11-01","FRS-2011-0305-0001","7100-AD73","FINAL","","67323","Resolution Plans Required","76"
"36","2011-27377-FDIC","Issuance","Final rule.","https://www.fdic.gov/regulations/laws/federal/2011/11comad77.html","FDIC","3064-AD77","No","18","2011-11-01","FDIC-2011-0147-0001","3064-AD77","FINAL","","67323","Resolution Plans Required","76"
"37","2011-33364-FRS","Issuance","Proposed rule; request for public comment.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1438&doc_ver=1","FRS","R-1438","No","71","2012-01-05","FRS-2012-0006-0001","7100-AD86","NPR","","593","Enhanced Prudential Standards and Early Remediation Requirements for Covered Companies","77"
"38","2012-30734-FRS","Issuance","Proposed rule; request for public comment.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1438&doc_ver=2","FRS","R-1438","No","77","2012-12-28","FRS-2012-0390-0001","7100-AD86","NPR","","76628","Enhanced Prudential Standards and Early Remediation Requirements for Foreign Banking Organizations and Foreign Nonbank Financial Companies","77"
"39","2016-05386-FRS","Issuance","Notice of proposed rulemaking.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1534&doc_ver=1","FRS","R-1534","No","38","2016-03-16","FRS-2016-0081-0001","7100-AE48","NPR","","14327","Single-Counterparty Credit Limits for Large Banking Organizations","81"
"40","2012-6811-OCC","Extension","Proposed rule; extension of comment period.","https://www.regulations.gov/docket?D=OCC-2011-0029","OCC","OCC-2011-0029","No","1","2012-03-21","OCC-2011-0029-0006","1557-AD58","NPR","","16484","Annual Stress Test","77"
"41","2012-24608-OCC","Issuance","Final rule.","https://www.regulations.gov/docket?D=OCC-2011-0029","OCC","OCC-2011-0029","No","11","2012-10-09","OCC-2011-0029-0023","1557-AD58","FINAL","","61238","Annual Stress Test","77"
"42","2014-14416-OCC","Issuance","Proposed rule.","https://www.regulations.gov/docket?D=OCC-2014-0015","OCC","OCC-2014-0015","No","5","2014-07-01","OCC-2014-0015-0001","1557-AD85","NPR","","37231","Annual Stress Test-Schedule Shift and Adjustments to Regulatory Capital Projections","79"
"43","2012-24637-FHFA","Issuance","Notice of proposed rulemaking; request for comment.","https://www.fhfa.gov/SupervisionRegulation/Rules/Pages/Comment-List.aspx?RuleID=335","FHFA","2590-AA47","No","5","2012-10-05","FHFA-2012-0025-0001","2590-AA47","NPR","","60948","Stress Testing of Regulated Entities","77"
"44","2013-22586-FHFA","Issuance","Final rule.","https://www.fhfa.gov/SupervisionRegulation/Rules/Pages/Stress-Testing-of-Regulated-Entities1124-3604.aspx","FHFA","2590-AA47","No","5","2013-09-26","FHFA-2013-0027-0001","2590-AA47","FINAL","","59219","Stress Testing of Regulated Entities","78"
"45","2012-24987-FRS","Issuance","Final rule.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1438&doc_ver=1","FRS","R-1438","No","19","2012-10-12","FRS-2012-0300-0001","7100-AD86","FINAL","","62378","Supervisory and Company-Run Stress Test Requirements for Covered Companies","77"
"46","2013-23619-FRS","Issuance","Interim final rule with request for comment.","https://www.federalreserve.gov/apps/foia/ViewComments.aspx?doc_id=R-1464&doc_ver=1","FRS","R-1464","No","8","2013-09-30","FRS-2013-0275-0001","7100-AE02","INTERIM-FINAL","","59791","Annual Company-Run Stress Tests at Banking Organizations With Total Consolidated Assets of More Than $10 Billion But Less Than $50 Billion; One-Year Transition Period to Revised Regulatory Capital Framework for 2013-2014 Stress Test Cycle","78"
"47","2014-14357-FRS","Issuance","Notice of proposed rulemaking with request for comment.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1492&doc_ver=1","FRS","R-1492","No","27","2014-07-01","FRS-2014-0190-0001","7100-AE20","NPR","","37419","Amendments to the Capital Plan and Stress Test Rules","79"
"48","2014-25170-FRS","Issuance","Final rule.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1492&doc_ver=1","FRS","R-1492","No","32","2014-10-27","FRS-2014-0314-0001","7100-AE20","FINAL","","64025","Capital Plan and Stress Test Rules","79"
"49","2016-23629-FRS","Issuance","Notice of proposed rulemaking with request for comment.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1548&doc_ver=1","FRS","R-1548","No","22","2016-09-30","FRS-2016-0314-0001","7100-AE59","NPR","","67239","Amendments to the Capital Plan and Stress Test Rules","81"
"50","2017-02257-FRS","Issuance","Final rule.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1548&doc_ver=1","FRS","R-1548","No","23","2017-02-03","FRS-2017-0030-0001","7100-AE59","FINAL","","9308","Amendments to the Capital Plan and Stress Test Rules; Regulations Y and YY","82"
"51","2013-27082-OCC","Issuance","Notice of proposed rulemaking with request for public comment.","https://www.regulations.gov/docket?D=OCC-2013-0016","OCC","OCC-2013-0016","No","52","2013-11-29","OCC-2013-0016-0001","1557-AD74","NPR","","71817","Liquidity Coverage Ratio: Liquidity Risk Measurement, Standards, and Monitoring","78"
"52","2013-27082-FRS","Issuance","Notice of proposed rulemaking with request for public comment.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1466&doc_ver=1","FRS","R-1466","No","52","2013-11-29","FRS-2013-0354-0001","7100-AE03","NPR","","71817","Liquidity Coverage Ratio: Liquidity Risk Measurement, Standards, and Monitoring","78"
"53","2013-27082-FDIC","Issuance","Notice of proposed rulemaking with request for public comment.","https://www.fdic.gov/regulations/laws/federal/2013/2013_liquidity_coverage_ae04.html","FDIC","3064-AE04","No","52","2013-11-29","FDIC-2013-0139-0001","3064-AE04","NPR","","71817","Liquidity Coverage Ratio: Liquidity Risk Measurement, Standards, and Monitoring","78"
"54","2014-22520-OCC","Issuance","Final rule.","https://www.regulations.gov/docket?D=OCC-2013-0016","OCC","OCC-2013-0016","No","103","2014-10-10","OCC-2013-0016-0169","1557-AD74","FINAL","","61439","Liquidity Coverage Ratio: Liquidity Risk Measurement Standards","79"
"55","2014-22520-FRS","Issuance","Final rule.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1466&doc_ver=1","FRS","R-1466","No","103","2014-10-10","FRS-2014-0297-0001","7100-AE03","FINAL","","61439","Liquidity Coverage Ratio: Liquidity Risk Measurement Standards","79"
"56","2014-22520-FDIC","Issuance","Final rule.","https://www.fdic.gov/regulations/laws/federal/2013/2013_liquidity_coverage_ae04.html","FDIC","3064-AE04","No","103","2014-10-10","FDIC-2014-0108-0001","3064-AE04","FINAL","","61439","Liquidity Coverage Ratio: Liquidity Risk Measurement Standards","79"
"57","2014-05699-FRS","Issuance-Complex","Final rule; request for public comment on Paperwork Reduction Act burden estimates only.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1438&doc_ver=2","FRS","R-1438","No","100","2014-03-27","FRS-2014-0085-0001","7100-AD86","FINAL","","17239","Enhanced Prudential Standards for Bank Holding Companies and Foreign Banking Organizations","79"
"58","2016-11505-FRS","Issuance","Notice of proposed rulemaking with request for public comment.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1537&doc_ver=1","FRS","R-1537","No","61","2016-06-01","FRS-2016-0182-0001","7100-AE51","NPR","","35123","Net Stable Funding Ratio: Liquidity Risk Measurement Standards and Disclosure Requirements","81"
"59","2016-25871-FDIC","Issuance","Joint advance notice of proposed rulemaking.","https://www.fdic.gov/regulations/laws/federal/2016/2016_enhanced_cyber_risk_3064-ae45.html","FDIC","3064–AE45","Yes","12","2016-10-26","FDIC-2016-0093-0001","3064–AE45","ANPR","","74315","Enhanced Cyber Risk Management Standards","81"
"60","2016-11505-OCC","Issuance","Notice of proposed rulemaking with request for public comment.","https://www.regulations.gov/docket?D=OCC-2014-0029","OCC","OCC-2014-0029","No","61","2016-06-01","OCC-2014-0029-0014","1557–AD97","NPR","","35123","Net Stable Funding Ratio: Liquidity Risk Measurement Standards and Disclosure Requirements","81"
"61","2016-11209-FRS","Issuance","Notice of proposed rulemaking.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1538&doc_ver=1","FRS","R-1538","No","25","2016-05-11","FRS-2016-0162-0001","7100-AE52","NPR","","29169","Restrictions on Qualified Financial Contracts of Systemically Important U.S. Banking Organizations and the U.S. Operations of Systemically Important Foreign Banking Organizations; Revisions to the Definition of Qualifying Master Netting Agreement and Related Definitions","81"
"62","2017-19053-FRS","Issuance","Final rule.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1538&doc_ver=1","FRS","R-1538","No","45","2017-09-12","FRS-2017-0254-0001","7100-AE52","FINAL","","42882","Restrictions on Qualified Financial Contracts of Systemically Important U.S. Banking Organizations and the U.S. Operations of Systemically Important Foreign Banking Organizations; Revisions to the Definition of Qualifying Master Netting Agreement and Related Definitions","82"
"63","2016-14005-FRS","Issuance","Request for public comment on the application of enhanced prudential standards to certain nonbank financial companies.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1540&doc_ver=1","FRS","R-1540","No","22","2016-06-14","FRS-2016-0196-0001","7100-AE54","NPR","","38610","Enhanced Prudential Standards for Systemically Important Insurance Companies","81"
"64","2016-25871-FRS","Issuance","Joint advance notice of proposed rulemaking.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1550&doc_ver=1","FRS","R-1550","Yes","12","2016-10-26","FRS-2016-0341-0001","7100–AE61","ANPR","","74315","Enhanced Cyber Risk Management Standards","81"
"65","2016-25871-OCC","Issuance","Joint advance notice of proposed rulemaking.","https://www.regulations.gov/docket?D=OCC-2016-0016","OCC","OCC-2016-0016","Yes","12","2016-10-26","OCC-2016-0016-0001","1557-AE06","ANPR","","74315","Enhanced Cyber Risk Management Standards","81"
"66","2015-12850-FRS","Issuance","Notice of proposed rulemaking with request for public comment.","https://www.federalreserve.gov/apps/foia/ViewComments.aspx?doc_id=R-1514&doc_ver=1","FRS","R-1514","No","7","2015-05-28","FRS-2015-0182-0001","7100-AE32","NPR","","30383","Liquidity Coverage Ratio: Treatment of U.S. Municipal Securities as High-Quality Liquid Assets","80"
"67","2016-07716-FRS","Issuance","Final rule.","https://www.federalreserve.gov/apps/foia/ViewComments.aspx?doc_id=R-1514&doc_ver=1","FRS","R-1514","No","11","2016-04-11","FRS-2016-0116-0001","7100-AE32","FINAL","","21223","Liquidity Coverage Ratio: Treatment of U.S. Municipal Securities as High-Quality Liquid Assets","81"
"68","2013-20143-OCC","Issuance","Joint notice of proposed rulemaking.","https://www.regulations.gov/docket?D=OCC-2013-0008","OCC","OCC-2013-0008","Yes","15","2013-08-20","OCC-2013-0008-0001","1557-AD69","NPR","","51101","Regulatory Capital Rules: Regulatory Capital, Enhanced Supplementary Leverage Ratio Standards for Certain Bank Holding Companies and Their Subsidiary Insured Depository Institutions","78"
"69","2014-09367-OCC","Issuance","Final rule.","https://www.regulations.gov/docket?D=OCC-2013-0008","OCC","OCC-2013-0008","No","14","2014-05-01","OCC-2013-0008-0032","1557-AD69","FINAL","","24528","Regulatory Capital Rules: Regulatory Capital, Enhanced Supplementary Leverage Ratio Standards for Certain Bank Holding Companies and Their Subsidiary Insured Depository Institutions","79"
"70","2013-20143-FRS","Issuance","Joint notice of proposed rulemaking.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1460&doc_ver=1","FRS","R-1460_V1","Yes","15","2013-08-20",NA,"7100-AD99","NPR","","51101","Regulatory Capital Rules: Regulatory Capital, Enhanced Supplementary Leverage Ratio Standards for Certain Bank Holding Companies and Their Subsidiary Insured Depository Institutions","78"
"71","2014-09367-FRS","Issuance","Final rule.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1460&doc_ver=1","FRS","R-1460_V1","No","14","2014-05-01",NA,"7100-AD99","FINAL","","24528","Regulatory Capital Rules: Regulatory Capital, Enhanced Supplementary Leverage Ratio Standards for Certain Bank Holding Companies and Their Subsidiary Insured Depository Institutions","79"
"72","2018-00062-FRS","Correction","Final rule; correcting amendments.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1460&doc_ver=1","FRS","R-1460_V1","No","2","2018-01-08",NA,"7100-AD99","FINAL","","705","Regulatory Capital Rules; Correction","83"
"73","2013-20143-FDIC","Issuance","Joint notice of proposed rulemaking.","https://www.fdic.gov/regulations/laws/federal/2013/2013-leverage_ratio_standards.html","FDIC","3064–AE01","Yes","15","2013-08-20",NA,"3064–AE01","NPR","","51101","Regulatory Capital Rules: Regulatory Capital, Enhanced Supplementary Leverage Ratio Standards for Certain Bank Holding Companies and Their Subsidiary Insured Depository Institutions","78"
"74","2014-09367-FDIC","Issuance","Final rule.","https://www.fdic.gov/regulations/laws/federal/2013/2013-leverage_ratio_standards.html","FDIC","3064–AE01","No","14","2014-05-01",NA,"3064–AE01","FINAL","","24528","Regulatory Capital Rules: Regulatory Capital, Enhanced Supplementary Leverage Ratio Standards for Certain Bank Holding Companies and Their Subsidiary Insured Depository Institutions","79"
"75","2011-5011-OTS","Issuance","Notice of proposed rulemaking.","https://www.regulations.gov/docket?D=OTS-2011-0002","OTS","OTS-2011-0002","No","6","2011-03-08","OTS-2011-0002-0001","1550–AC41","NPR","","12611","Risk-Based Capital Standards: Advanced Capital Adequacy Framework-Basel II; Establishment of a Risk-Based Capital Floor","76"
"76","2010-32190-OCC","Issuance","Joint notice of proposed rulemaking.","https://www.regulations.gov/docket?D=OCC-2010-0009","OCC","OCC-2010-0009","Yes","7","2010-12-30","OCC-2010-0009-0001","1557–AD33","NPR","","82317","Risk-Based Capital Standards: Advanced Capital Adequacy Framework-Basel II; Establishment of a Risk-Based Capital Floor","75"
"77","2011-15669-OCC","Issuance","Final rule.","https://www.regulations.gov/docket?D=OCC-2011-0009","OCC","OCC-2011-0009","No","10","2011-06-28","OCC-2011-0009-0001","1557-AD33","FINAL","","37620","Risk-Based Capital Standards: Advanced Capital Adequacy Framework-Basel II; Establishment of a Risk-Based Capital Floor","76"
"78","2010-32189-FRS","Issuance","Notice of proposed rulemaking with request for public comment.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1401&doc_ver=2","FRS","R-1401_V2","No","34","2011-01-11",NA,"7100-AD61","NPR","","1889","Risk-Based Capital Guidelines: Market Risk","76"
"79","2011-32073-FRS","Issuance","Notice of proposed rulemaking (NPR).","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1401&doc_ver=2","FRS","R-1401_V2","No","29","2011-12-21",NA,"7100-AD61","NPR","","79379","Risk-Based Capital Guidelines: Market Risk; Alternatives to Credit Ratings for Debt and Securitization Positions","76"
"80","2012-16759-FRS","Issuance","Joint final rule.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1401&doc_ver=2","FRS","R-1401_V2","Yes","57","2012-08-30",NA,"7100-AD61","FINAL","","53059","Risk-Based Capital Guidelines: Market Risk","77"
"81","2010-32190-FDIC","Issuance","Joint notice of proposed rulemaking.","https://www.fdic.gov/regulations/laws/federal/2010/10comdec30.html","FDIC","3064-AD58","Yes","7","2010-12-30","FDIC-2010-0144-0001","3064-AD58","NPR","","82317","Risk-Based Capital Standards: Advanced Capital Adequacy Framework-Basel II; Establishment of a Risk-Based Capital Floor","75"
"82","2010-32189-OCC","Issuance","Notice of proposed rulemaking with request for public comment.","https://www.regulations.gov/docket?D=OCC-2010-0003","OCC","OCC-2010-0003","No","34","2011-01-11","OCC-2010-0003-0001","1557-AC99","NPR","","1889","Risk-Based Capital Guidelines: Market Risk","76"
"83","2011-32073-OCC","Issuance","Notice of proposed rulemaking (NPR).","https://www.regulations.gov/docket?D=OCC-2010-0003","OCC","OCC-2010-0003","No","29","2011-12-21","OCC-2010-0003-0012","1557-AC99","NPR","","79379","Risk-Based Capital Guidelines: Market Risk; Alternatives to Credit Ratings for Debt and Securitization Positions","76"
"84","2010-32189-FDIC","Issuance","Notice of proposed rulemaking with request for public comment.","https://www.fdic.gov/regulations/laws/federal/2011/11comad70.html","FDIC","3064-AD70","No","34","2011-01-11","FDIC-2011-0002-0001","3064-AD70","NPR","","1889","Risk-Based Capital Guidelines: Market Risk","76"
"85","2011-32073-FDIC","Issuance","Notice of proposed rulemaking (NPR).","https://www.fdic.gov/regulations/laws/federal/2011/11comad70-2.html","FDIC","3064-AD70","No","29","2011-12-21","FDIC-2011-0171-0001","3064-AD70","NPR","","79379","Risk-Based Capital Guidelines: Market Risk; Alternatives to Credit Ratings for Debt and Securitization Positions","76"
"86","2012-16759-OCC","Issuance","Joint final rule.","https://www.regulations.gov/docket?D=OCC-2012-0002","OCC","OCC-2012-0002","Yes","57","2012-08-30","OCC-2012-0002-0001","1557-AC99","FINAL","","53059","Risk-Based Capital Guidelines: Market Risk","77"
